,asin,helpful,overall,reviewerID,unixReviewTime
1046056,B008DL49BE,"[6, 7]",4,A,1354320000
1046057,B008DL49BE,"[4, 4]",3,B,1354665600
1046058,B008DL49BE,"[1, 2]",2,C,1375747200
1046059,B008DL49BE,"[0, 1]",3,D,1358380800
1046060,B008DL49BE,"[0, 1]",5,E,1364947200
1046061,B008DL49BE,"[3, 3]",2,F,1369699200
1046062,B008DL49BE,"[4, 6]",2,G,1353974400
1046063,B008DL49BE,"[1, 1]",4,H,1356134400
1046064,B008DL49BE,"[1, 2]",3,I,1356220800
1046065,B008DL49BE,"[2, 8]",3,L,1353974400
1046066,A008DL49BE,"[2, 3]",5,A,1354320000
1046067,A008DL49BE,"[2, 4]",3,B,1354665600
1046068,A008DL49BE,"[0, 2]",4,C,1375747200
1046069,A008DL49BE,"[0, 0]",1,G,1353974400
1046070,A008DL49BE,"[1, 1]",4,H,1356134400
1046071,A008DL49BE,"[1, 2]",4,I,1356220800
1046072,A008DL49BE,"[2, 2]",2,L,1353974400
1046073,C008DL49BE,"[4, 4]",3,A,1354320000
1046074,C008DL49BE,"[2, 4]",3,B,1354665600
1046075,C008DL49BE,"[2, 3]",5,C,1375747200
1046076,C008DL49BE,"[0, 1]",4,D,1358380800
1046087,C008DL49BE,"[0, 2]",5,E,1364947200
1046078,C008DL49BE,"[5, 5]",4,F,1369699200
1046079,C008DL49BE,"[2, 7]",5,L,1353974400
